"artifactId","numIncoming"
"aws.smithy.kotlin:serde-jvm","105618"
"org.apache.maven:maven-plugin-api","105128"
"org.scala-js:scalajs-library_2.13","105057"
"aws.sdk.kotlin:aws-endpoint-jvm","104414"
"aws.sdk.kotlin:aws-http-jvm","104267"
"aws.sdk.kotlin:aws-config-jvm","103831"
"org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm","103307"
"com.tencentcloudapi:tencentcloud-sdk-java-common","102881"
"org.glassfish.jaxb:jaxb-runtime","102088"
"org.scala-lang:scala-compiler","101440"
"org.springframework.boot:spring-boot-starter-validation","100543"
"jakarta.annotation:jakarta.annotation-api","100185"
"aws.smithy.kotlin:http-client-engine-default-jvm","100081"
"org.jetbrains.kotlin:kotlin-stdlib-js","99954"
"aws.smithy.kotlin:aws-signing-common-jvm","99556"
"aws.smithy.kotlin:runtime-core","99209"
"aws.smithy.kotlin:serde-json-jvm","98880"
"aws.smithy.kotlin:aws-credentials-jvm","98446"
"org.jboss.logging:jboss-logging","98436"
"org.openjdk.jmh:jmh-core","98282"
"aws.sdk.kotlin:aws-core","98150"
"aws.sdk.kotlin:aws-endpoint","97656"
"aws.sdk.kotlin:aws-config","97408"
"jakarta.xml.ws:jakarta.xml.ws-api","97304"
"aws.smithy.kotlin:aws-signing-default-jvm","97131"
"org.jetbrains.kotlinx:kotlinx-coroutines-core","97107"
"org.apache.bookkeeper:bookkeeper-server","94959"
"com.google.code.findbugs:annotations","94351"
"org.springframework:spring-orm","93796"
"com.sun.xml.bind:jaxb-core","93313"
"org.quartz-scheduler:quartz","93266"
"org.apache.commons:commons-pool2","91830"
"org.springframework.data:spring-data-commons","91815"
"io.streamnative:buildtools","91718"
"mysql:mysql-connector-java","90882"
"androidx.appcompat:appcompat","90858"
"org.scala-js:scalajs-test-bridge_2.13","90345"
"commons-validator:commons-validator","89685"
"org.springframework:spring-expression","89514"
"aws.smithy.kotlin:http-client-jvm","89459"
"org.hsqldb:hsqldb","89369"
"aws.smithy.kotlin:http-client","89216"
"com.fasterxml.jackson.datatype:jackson-datatype-guava","88844"
"org.springframework.security:spring-security-core","88808"
"aws.smithy.kotlin:smithy-client-jvm","88670"
"aws.smithy.kotlin:smithy-client","88384"
"aws.smithy.kotlin:aws-protocol-core-jvm","88066"
"org.openjdk.jmh:jmh-generator-annprocess","87736"
"org.hibernate:hibernate-validator","87398"
"org.objenesis:objenesis","87381"
"org.apache.ws.commons.axiom.wso2:axiom","86393"
"io.dropwizard.metrics:metrics-core","85831"
"aws.smithy.kotlin:identity-api-jvm","85701"
"aws.smithy.kotlin:http-auth-jvm","85680"
"org.eclipse.jetty:jetty-server","85616"
"aws.smithy.kotlin:http-auth-aws-jvm","85381"
"com.fasterxml.jackson.dataformat:jackson-dataformat-xml","85106"
"io.rest-assured:rest-assured","84259"
"org.springframework.boot:spring-boot-starter-aop","83938"
"org.jboss.logging:jboss-logging-processor","83866"
"javax.annotation:jsr250-api","83855"
"net.bytebuddy:byte-buddy","83681"
"io.grpc:grpc-stub","83141"
"aws.smithy.kotlin:aws-json-protocols-jvm","82891"
"org.yaml:snakeyaml","82090"
"aws.smithy.kotlin:telemetry-api-jvm","81671"
"org.apache.maven.plugin-tools:maven-plugin-annotations","81643"
"aws.smithy.kotlin:telemetry-defaults-jvm","81164"
"org.springframework.boot:spring-boot-actuator","81072"
"aws.smithy.kotlin:telemetry-api","81023"
"com.google.api.grpc:proto-google-common-protos","80897"
"org.postgresql:postgresql","80708"
"org.apache.axis2.wso2:axis2-client","80047"
"org.springframework:spring-jms","79860"
"software.amazon.awssdk:identity-spi","79706"
"org.wso2.carbon:org.wso2.carbon.logging","79497"
"software.amazon.awssdk:http-auth-spi","79289"
"org.springframework.cloud:spring-cloud-context","79255"
"org.springframework:spring-messaging","79063"
"software.amazon.awssdk:http-auth","78661"
"io.github.vigoo:zio-aws-core_2.13","78450"
"software.amazon.awssdk:http-auth-aws","78443"
"io.github.vigoo:zio-aws-core_2.12","78000"
"dev.zio:zio_2.13","77164"
"org.hibernate:hibernate-core","76840"
"org.springframework.cloud:spring-cloud-commons","76309"
"dev.zio:zio_2.12","76133"
"org.codehaus.groovy:groovy","75799"
"com.zaxxer:HikariCP","75728"
"dev.zio:zio-aws-core_2.13","75621"
"dev.zio:zio-aws-core_2.12","75611"
"dev.zio:zio-aws-core_3","75539"
"org.json:json","75031"
"org.jooq:jool","74852"
"jakarta.xml.bind:jakarta.xml.bind-api","74261"
"io.swagger:swagger-annotations","74000"
"org.junit.platform:junit-platform-launcher","73867"
"org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl","73146"
"com.google.code.findbugs:findbugs-annotations","72893"
"dev.zio:zio_3","72123"
"org.springframework.webflow:spring-webflow","71543"
"dev.zio:zio-streams_2.13","71341"
"org.checkerframework:checker-qual","70973"
"org.hjson:hjson","70914"
"org.springframework.webflow:spring-binding","70697"
"org.bouncycastle:bcprov-jdk15on","70615"
"jakarta.servlet:jakarta.servlet-api","70597"
"dev.zio:zio-streams_2.12","70451"
"org.apache.maven:maven-core","70283"
"com.fasterxml.jackson.datatype:jackson-datatype-joda","70262"
"javax.el:javax.el-api","70054"
